DSB tog

Lyntog  L
Nørre Åby st  NA
Nørrebro st   NØ
Nørreport st  KN
Nørrevænget st  NRV
Odder st  ODD
Oddesund nord st  NO
Odense st   OD
Odense sygehus st   OSS
Oksbøl st   OKS
Ordrup st   OP
Outrup st   OVT
Padborg st  PA
Parkvej st  PV
Pederstrup st   PDS
Peter Bangs Vej st  PBT
Pårup st  PPG
Ramme st  RAM
Randers st  RD
Regstrup st   RT
Rejsby st   REJ
Ribe Nørremark st   RBN
Ribe st   RB
Rimmen st   RIM
Ringe st  RE
Ringkøbing st   RJ
Ringsted st   RG
Rosenhøj st   RH
Roskilde st   RO
Rude Havvej st  RUH
Rudme st  RUS
Ruds Vedby st   RUV
Rungsted Kyst st  RU
Ry st   RY
Ryde st   RYD
Ryomgård st   RÅ
Ryparken st   RYT
Rødby Færge   RF
Rødekro st  RQ
Rødkærsbro st   RK
Rødovre st  RDO
Rødvig st   RDG
Rønne/Bornholm st   RNN
Sakskøbing st   SX
Saltrup st  SAG
Saunte st   SAU
Sejstrup st   SEJ
Sig st  IS
Silkeborg st  SL
Sindal st   SA
Sjælør st   SJÆ
Sjørring st   RI
Skagen st   SGB
Skalbjerg st  SC
Skalborg st   OG
Skanderborg st  SD
Skellebjerg st  SKL
Skibstrup st  SKB
Skive st  SK
Skjern st   SJ
Skodsborg st  SÅ
Skolebakken st  BAK
Skovbrynet st   SKT
Skovlunde st  SKO
Skærbæk st  ÆK
Skævinge st   SKV
Skødstrup st (Århus)  ØDS
Skørping st   SØ
Slagelse st   SG
Slotspavillonen st  SPG
Snedsted st   SNE
Snekkersten st  SQ
Solrød Strand st  SOL
Sommerland Sjælland st  SLX
Sorgenfri st  SFT
Sorø st   SO
Spangsbjerg st  ESN
Stengården st   SGT
Stenhus st  SHT
Stenlille st  STL
Stenløse st   ST
Stenstrup st  STS
Stenstrup Syd st  SIS
Stoholm st  SM
Store Heddinge st   STH
Store Merløse st  SMS
Strandby st (Frederikshavn)   STB
Strande st  STA
Struer st   STR
Studsgård st  STU
Stæremosen st   STÆ
Støvring st   SR
Svanemøllen st  SAM
Svebølle st   SE
Svejbæk st  SV
Svendborg st  SVG
Svendborg vest st   SVV
Svenstrup st (Jylland)  SN
Svinninge st  SNG
Sydhavn st  SYV
Søborg st (Gilleleje)   SØB
Søllested st  SØL
Sønderborg st   SDB
Sønderby st   SDBY
Søvig Sund st   SØT
Tarm st   TA
Taulov st   TL
Teglgårdsvej st   TGV
Thisted st  TI
Thyborøn havn st  THB
Thyborøn st   THT
Thyregod st   TY
Tim st  TM
Tinglev st  TE
Tistrup st  TR
Tisvildeleje st   TVL
Tjæreborg st  TB
Tokkerup st (Fakse)   TOK
Tolne st  TO
Tommerup st   TP
Tornby st   TNB
Torsøvej st   TOV
Tranbjerg st  TRG
Trekroner st  TRK
Troldhede st  TD
Trustrup st   TU
Tureby st   TH
Tølløse st  TØ
Tønder Nord st  TRN
Tønder st   TDR
Tårnby st   TÅT
Taastrup st   TÅ
Uglev st  UL
Ulfborg st  UF
Ulstrup st  UP
Valby st  VAL
Vallensbæk st   VLB
Vallø st  VLØ
Vamdrup st  VM
Vangede st  ANG
Vanløse st  VAN
Varde Kaserne st  VKA
Varde Nord st   VNO
Varde st  VA
Varde Vest st   VAV
Varpelev st   VAP
Vedbæk st   VB
Vedde st  VED
Vejby st  VEJ
Vejen st  VN
Vejle st  VJ
Vejle sygehus st  VJS
Veksø st  VS
Vellingshøj st  VLH
Vemb st   VEM
Vesterport st   VPT
Vestre Strandalle st  VSA
Vibehus st  VIF
Viborg st   VG
Viby Jylland st   VI
Viby Sjælland st  VY
Vidstrup st   VID
Vig st  VIG
Vigerslev Alle st   VGT
Vildbjerg st  ID
Vilhelmsborg st   VH
Vinderup st   VP
Vipperød st   PE
Virum st  VIR
Visby st  VIS
Vojens st   OJ
Vordingborg st  VO
Vrist st  VRI
Vrøgum st   VRØ
Vrå st  VR
Værløse st  VÆR
Ydby st   YD
Ølby st   ØLB
